"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,2,-1,2,0,0,2,2,0,11,18,5,-1,-1,6,214,0
2018,3,-1,2,6,0,1,2,1,12,62,1,-1,-1,5,215,3
2018,1,100,2,1,10,1,2,2,15,30,1,-1,30,2,216,0
2018,3,-1,3,0,0,3,2,0,7,70,2,-1,-1,5,217,4
2018,2,0,3,3,5,1,1,0,3,50,1,-1,40,1,218,0
2018,1,-1,2,2,0,3,2,1,12,44,4,-1,-1,7,219,0
2018,3,98,1,3,12,1,2,1,12,33,1,-1,45,1,220,1
2018,3,30,2,6,12,1,2,4,19,34,1,-1,35,1,221,2
2018,3,50,2,0,0,1,2,3,16,46,1,-1,8,2,222,2
2018,1,80,1,1,0,1,1,1,12,51,1,-1,30,2,223,0
2018,3,0,3,0,12,2,1,1,14,28,5,-1,40,1,224,1
2018,1,0,1,2,8,3,1,3,16,74,3,-1,16,2,225,0
2018,2,10,2,3,9,1,2,1,15,29,5,-1,30,2,226,0
2018,1,-1,1,2,10,3,1,0,11,49,1,-1,-1,4,227,0
2018,3,90,2,2,12,1,2,3,17,28,5,-1,20,1,228,3
2018,2,-1,3,4,0,1,2,1,12,48,4,-1,-1,7,229,3
2018,2,50,1,2,0,1,2,1,12,24,5,-1,25,2,230,0
2018,3,80,1,4,8,3,2,1,15,51,3,-1,70,1,231,2
2018,2,8,2,6,12,1,2,3,16,42,3,-1,40,1,232,0
2018,3,90,1,3,13,2,1,3,17,44,1,-1,60,1,233,2
2018,1,-1,1,4,0,1,2,1,12,33,1,-1,-1,7,234,0
2018,3,90,2,5,12,1,1,1,12,29,1,-1,40,1,235,3
2018,2,100,2,2,12,1,2,3,17,48,1,-1,50,1,236,0
2018,1,70,1,6,12,1,2,0,10,62,2,-1,40,1,237,0
2018,3,-1,3,6,0,1,2,1,12,88,2,-1,-1,7,238,3
2018,2,50,2,4,12,1,1,4,18,65,1,15,-1,3,239,2
2018,1,-1,2,3,0,1,2,1,13,28,1,-1,-1,7,240,0
2018,3,25,1,5,12,1,2,2,14,58,1,-1,40,1,241,1
2018,3,0,2,3,12,1,1,1,13,26,5,-1,45,1,242,9
2018,2,50,2,6,12,1,2,1,13,61,1,-1,40,1,243,3
2018,1,90,2,3,12,1,2,1,13,30,1,-1,40,1,244,0
